time,packet_count
1.878681182861328125e-01,1.000000000000000000e+00
2.628321647644042969e-01,2.000000000000000000e+00
3.376142978668212891e-01,3.000000000000000000e+00
4.124925136566162109e-01,4.000000000000000000e+00
4.872815608978271484e-01,5.000000000000000000e+00
5.619456768035888672e-01,6.000000000000000000e+00
6.367161273956298828e-01,7.000000000000000000e+00
7.117617130279541016e-01,8.000000000000000000e+00
5.993668317794799805e+00,9.000000000000000000e+00
6.364941596984863281e+00,1.000000000000000000e+01
6.439446210861206055e+00,1.100000000000000000e+01
6.514329433441162109e+00,1.200000000000000000e+01
6.589164972305297852e+00,1.300000000000000000e+01
6.663924455642700195e+00,1.400000000000000000e+01
6.738866567611694336e+00,1.500000000000000000e+01
6.813806056976318359e+00,1.600000000000000000e+01
6.888719081878662109e+00,1.700000000000000000e+01
6.963526725769042969e+00,1.800000000000000000e+01
7.039554357528686523e+00,1.900000000000000000e+01
7.114419221878051758e+00,2.000000000000000000e+01
7.191076517105102539e+00,2.100000000000000000e+01
7.267359018325805664e+00,2.200000000000000000e+01
7.342135906219482422e+00,2.300000000000000000e+01
7.417067527770996094e+00,2.400000000000000000e+01
7.787319183349609375e+00,2.500000000000000000e+01
7.861914396286010742e+00,2.600000000000000000e+01
7.936629295349121094e+00,2.700000000000000000e+01
8.011552572250366211e+00,2.800000000000000000e+01
8.086523294448852539e+00,2.900000000000000000e+01
8.161315917968750000e+00,3.000000000000000000e+01
8.236233949661254883e+00,3.100000000000000000e+01
8.311038494110107422e+00,3.200000000000000000e+01
8.385845184326171875e+00,3.300000000000000000e+01
8.907998800277709961e+00,3.400000000000000000e+01
8.982469320297241211e+00,3.500000000000000000e+01
9.057604312896728516e+00,3.600000000000000000e+01
9.132398128509521484e+00,3.700000000000000000e+01
9.208166837692260742e+00,3.800000000000000000e+01
9.283044338226318359e+00,3.900000000000000000e+01
9.357893943786621094e+00,4.000000000000000000e+01
9.432704210281372070e+00,4.100000000000000000e+01
9.507421016693115234e+00,4.200000000000000000e+01
9.582193613052368164e+00,4.300000000000000000e+01
9.656979084014892578e+00,4.400000000000000000e+01
1.002722620964050293e+01,4.500000000000000000e+01
1.010184812545776367e+01,4.600000000000000000e+01
1.017687034606933594e+01,4.700000000000000000e+01
1.025180125236511230e+01,4.800000000000000000e+01
1.032671880722045898e+01,4.900000000000000000e+01
1.040162920951843262e+01,5.000000000000000000e+01
1.047636437416076660e+01,5.100000000000000000e+01
1.055114817619323730e+01,5.200000000000000000e+01
1.062592601776123047e+01,5.300000000000000000e+01
1.099652957916259766e+01,5.400000000000000000e+01
1.107116389274597168e+01,5.500000000000000000e+01
1.114597749710083008e+01,5.600000000000000000e+01
1.122097420692443848e+01,5.700000000000000000e+01
1.129576277732849121e+01,5.800000000000000000e+01
1.137071871757507324e+01,5.900000000000000000e+01
1.144548964500427246e+01,6.000000000000000000e+01
1.152030611038208008e+01,6.100000000000000000e+01
1.159524869918823242e+01,6.200000000000000000e+01
1.167031216621398926e+01,6.300000000000000000e+01
1.204126954078674316e+01,6.400000000000000000e+01
1.211584162712097168e+01,6.500000000000000000e+01
1.219177675247192383e+01,6.600000000000000000e+01
1.226674342155456543e+01,6.700000000000000000e+01
1.234155106544494629e+01,6.800000000000000000e+01
1.241656136512756348e+01,6.900000000000000000e+01
1.249169421195983887e+01,7.000000000000000000e+01
1.256851100921630859e+01,7.100000000000000000e+01
1.264633369445800781e+01,7.200000000000000000e+01
1.272346401214599609e+01,7.300000000000000000e+01
1.378180789947509766e+01,7.400000000000000000e+01
1.385645198822021484e+01,7.500000000000000000e+01
1.393123912811279297e+01,7.600000000000000000e+01
1.400616121292114258e+01,7.700000000000000000e+01
1.408110976219177246e+01,7.800000000000000000e+01
1.415593886375427246e+01,7.900000000000000000e+01
1.423091578483581543e+01,8.000000000000000000e+01
1.430577754974365234e+01,8.100000000000000000e+01
1.438056826591491699e+01,8.200000000000000000e+01
1.445530629158020020e+01,8.300000000000000000e+01
1.482572579383850098e+01,8.400000000000000000e+01
1.490033102035522461e+01,8.500000000000000000e+01
1.497512745857238770e+01,8.600000000000000000e+01
1.505017256736755371e+01,8.700000000000000000e+01
1.512488961219787598e+01,8.800000000000000000e+01
1.520099639892578125e+01,8.900000000000000000e+01
1.527591753005981445e+01,9.000000000000000000e+01
1.535072946548461914e+01,9.100000000000000000e+01
1.542563819885253906e+01,9.200000000000000000e+01
1.550043320655822754e+01,9.300000000000000000e+01
1.587060761451721191e+01,9.400000000000000000e+01
1.594506859779357910e+01,9.500000000000000000e+01
1.601990985870361328e+01,9.600000000000000000e+01
1.609476947784423828e+01,9.700000000000000000e+01
1.616990661621093750e+01,9.800000000000000000e+01
1.624484109878540039e+01,9.900000000000000000e+01
1.631969475746154785e+01,1.000000000000000000e+02
1.639457011222839355e+01,1.010000000000000000e+02
1.646930003166198730e+01,1.020000000000000000e+02
1.699070382118225098e+01,1.030000000000000000e+02
1.706548380851745605e+01,1.040000000000000000e+02
1.714027237892150879e+01,1.050000000000000000e+02
1.721541047096252441e+01,1.060000000000000000e+02
1.729024314880371094e+01,1.070000000000000000e+02
1.736516976356506348e+01,1.080000000000000000e+02
1.743997836112976074e+01,1.090000000000000000e+02
1.751466226577758789e+01,1.100000000000000000e+02
1.758961105346679688e+01,1.110000000000000000e+02
1.766544365882873535e+01,1.120000000000000000e+02
1.774037408828735352e+01,1.130000000000000000e+02
1.818778824806213379e+01,1.140000000000000000e+02
1.833747649192810059e+01,1.150000000000000000e+02
1.841223239898681641e+01,1.160000000000000000e+02
1.848699116706848145e+01,1.170000000000000000e+02
1.856174063682556152e+01,1.180000000000000000e+02
1.863661885261535645e+01,1.190000000000000000e+02
1.871182203292846680e+01,1.200000000000000000e+02
1.878682875633239746e+01,1.210000000000000000e+02
1.886174845695495605e+01,1.220000000000000000e+02
1.893650484085083008e+01,1.230000000000000000e+02
1.938222360610961914e+01,1.240000000000000000e+02
1.945678830146789551e+01,1.250000000000000000e+02
1.953158569335937500e+01,1.260000000000000000e+02
1.960641670227050781e+01,1.270000000000000000e+02
1.968163371086120605e+01,1.280000000000000000e+02
1.975654625892639160e+01,1.290000000000000000e+02
1.983139085769653320e+01,1.300000000000000000e+02
1.990621829032897949e+01,1.310000000000000000e+02
1.998109626770019531e+01,1.320000000000000000e+02
2.005611157417297363e+01,1.330000000000000000e+02
2.042624878883361816e+01,1.340000000000000000e+02
2.050064849853515625e+01,1.350000000000000000e+02
2.057555270195007324e+01,1.360000000000000000e+02
2.065037703514099121e+01,1.370000000000000000e+02
2.072534465789794922e+01,1.380000000000000000e+02
2.080028748512268066e+01,1.390000000000000000e+02
2.087512803077697754e+01,1.400000000000000000e+02
2.094986224174499512e+01,1.410000000000000000e+02
2.102478146553039551e+01,1.420000000000000000e+02
2.139488673210144043e+01,1.430000000000000000e+02
2.146937417984008789e+01,1.440000000000000000e+02
2.154413056373596191e+01,1.450000000000000000e+02
2.161905145645141602e+01,1.460000000000000000e+02
2.169537115097045898e+01,1.470000000000000000e+02
2.177041029930114746e+01,1.480000000000000000e+02
2.184530067443847656e+01,1.490000000000000000e+02
2.192013335227966309e+01,1.500000000000000000e+02
2.199496054649353027e+01,1.510000000000000000e+02
2.206988167762756348e+01,1.520000000000000000e+02
2.244016337394714355e+01,1.530000000000000000e+02
2.251456999778747559e+01,1.540000000000000000e+02
2.258937358856201172e+01,1.550000000000000000e+02
2.266422581672668457e+01,1.560000000000000000e+02
2.273910951614379883e+01,1.570000000000000000e+02
2.281393933296203613e+01,1.580000000000000000e+02
2.288874197006225586e+01,1.590000000000000000e+02
2.296380782127380371e+01,1.600000000000000000e+02
2.303984475135803223e+01,1.610000000000000000e+02
2.311471462249755859e+01,1.620000000000000000e+02
2.319104146957397461e+01,1.630000000000000000e+02
2.326590323448181152e+01,1.640000000000000000e+02
2.363591241836547852e+01,1.650000000000000000e+02
2.371067571640014648e+01,1.660000000000000000e+02
2.378562879562377930e+01,1.670000000000000000e+02
2.386057376861572266e+01,1.680000000000000000e+02
2.393541932106018066e+01,1.690000000000000000e+02
2.401023888587951660e+01,1.700000000000000000e+02
2.408515501022338867e+01,1.710000000000000000e+02
2.416015672683715820e+01,1.720000000000000000e+02
2.423513793945312500e+01,1.730000000000000000e+02
